Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
Toyota,2007.0,Nigerian Used,166418.0,2400.0,Petrol,Automatic,"3,120,000"
Lexus,2008.0,Nigerian Used,138024.0,3274.9765625,Petrol,Automatic,"5,834,000"
Mercedes-Benz,2008.0,Nigerian Used,376807.0,3000.0,Petrol,Automatic,"3,640,000"
Lexus,2008.0,Nigerian Used,213362.0,3274.9765625,Petrol,Automatic,"3,594,000"
Mercedes-Benz,2008.0,Nigerian Used,106199.0,3274.9765625,Petrol,Automatic,"8,410,000"
Mercedes-Benz,2008.0,Nigerian Used,87660.0,3274.9765625,Petrol,Automatic,"5,554,000"
Lexus,2008.0,Nigerian Used,191411.0,3274.9765625,Petrol,Automatic,"3,706,000"
Lexus,2008.0,Nigerian Used,59092.0,3274.9765625,Petrol,Automatic,"8,410,000"
Mercedes-Benz,2008.0,Nigerian Used,89423.0,3274.9765625,Petrol,Automatic,"6,506,000"
Lexus,2008.0,Nigerian Used,184827.0,3274.9765625,Petrol,Automatic,"4,000,000"
Lexus,2008.0,Nigerian Used,42433.0,3274.9765625,Petrol,Automatic,"8,970,000"
Lexus,2008.0,Nigerian Used,116138.0,3274.9765625,Petrol,Automatic,"3,034,000"
Lexus,2008.0,Nigerian Used,167583.0,3274.9765625,Petrol,Automatic,"3,818,000"
Lexus,2008.0,Nigerian Used,240934.0,3274.9765625,Petrol,Automatic,"3,930,000"
Fiat,2008.0,Nigerian Used,114.0,3274.9765625,Petrol,Automatic,"8,500,000"
Fiat,2008.0,Nigerian Used,54.0,3274.9765625,Petrol,Manual,"12,500,000"
Lexus,2008.0,Nigerian Used,79740.0,3274.9765625,Petrol,Automatic,"5,274,000"
Mercedes-Benz,2008.0,Nigerian Used,338145.0,3274.9765625,Petrol,Automatic,"8,060,000"
Lexus,2008.0,Nigerian Used,174545.0,3274.9765625,Petrol,Automatic,"6,506,000"
Land Rover,2008.0,Nigerian Used,63296.0,3274.9765625,Petrol,Automatic,"6,910,000"
Mercedes-Benz,2008.0,Nigerian Used,93469.0,3274.9765625,Petrol,Automatic,"6,910,000"
Mercedes-Benz,2008.0,Nigerian Used,63085.0,3274.9765625,Petrol,Automatic,"15,690,000"
Mercedes-Benz,2008.0,Nigerian Used,131405.0,3274.9765625,Petrol,Automatic,"5,610,000"
Toyota,2008.0,Nigerian Used,162853.0,3274.9765625,Petrol,Manual,"3,395,000"
Lexus,2008.0,Nigerian Used,169675.0,3274.9765625,Petrol,Automatic,"3,146,000"
Lexus,2008.0,Nigerian Used,147574.0,3274.9765625,Petrol,Automatic,"3,620,000"
Lexus,2008.0,Nigerian Used,70445.0,3274.9765625,Petrol,Automatic,"5,500,000"
Foton,2008.0,Nigerian Used,54470.0,3274.9765625,Petrol,Manual,"4,938,000"
Lexus,2008.0,Nigerian Used,130165.0,3274.9765625,Petrol,Automatic,"3,818,000"
Lexus,2008.0,Nigerian Used,75478.0,3274.9765625,Petrol,Automatic,"3,497,500"
Lexus,2008.0,Foreign Used,301265.0,3500.0,Petrol,Automatic,"4,680,000"
Mercedes-Benz,2008.0,Nigerian Used,145317.0,3274.9765625,Petrol,Automatic,"10,650,000"
Lexus,2011.0,Nigerian Used,105546.0,4600.0,Petrol,Automatic,"14,040,000"
Lexus,2008.0,Nigerian Used,60730.0,3274.9765625,Petrol,Automatic,"3,706,000"
Lexus,2008.0,Nigerian Used,98594.0,3274.9765625,Petrol,Automatic,"10,650,000"
Mercedes-Benz,2008.0,Nigerian Used,188429.0,3274.9765625,Petrol,Automatic,"6,170,000"
