Website Domain,Financing Type Normalized,Categories,Investors,Investors Count,Amount,Amount Normalized,Source Urls,"('Financing Type Normalized', 'Investors')"
trafigura.com,Not Provided,[],Not Provided,0.0,$1.9b,1900000000,https://www.tradefinanceglobal.com/posts/trafigura-raises-1-9b-in-new-credit-facilities-eyes-expansion,Not Provided
zenobe.com,Not Provided,[],"avivainvestors.com, lloydsbankinggroup.com, santander.co.uk, swip.com, cibc.com, societegenerale.com, natwest.us, rabobank.com, mufg.jp",9.0,$522.7 million,522700000,"https://realassets.ipe.com/news/aviva-among-lenders-backing-zenob-with-410m-of-new-debt/10073524.article, https://media.startupcentrum.com/weekly-startup-ecosystem-overview-in-europe-may-27-31",Not Provided
zenobe.com,Not Provided,"[""private_equity""]",Not Provided,0.0,£41.7m,53671000,https://www.innovationnewsnetwork.com/zenobe-awarded-41-7m-to-advance-electric-buses-in-scotland/49521,Not Provided
canva.com,Not Provided,[],stackcapitalgroup.com,1.0,US$8 million,8000000,https://www.globenewswire.com/news-release/2024/05/01/2873118/0/en/Stack-Capital-Invests-8-Million-USD-Into-Canva.html,Not Provided
fidelity.com,Not Provided,[],chevychasetrust.com,1.0,$1.96 million,1960000,https://www.defenseworld.net/2024/04/11/chevy-chase-trust-holdings-llc-makes-new-1-96-million-investment-in-fidelity-msci-consumer-discretionary-index-etf-nysearcafdis.html,Not Provided
swtchenergy.com,series_b,"[""series_b"", ""venture""]","alantra.com, blueearth.capital",2.0,$27.2 Million,27200000,"https://www.mercomindia.com/funding-and-ma-roundup-ev-charging-swtch-raises-27-million, https://www.finsmes.com/2024/04/swtch-energy-raises-27-2m-in-series-b-funding.html",series_b
carnow.com,Not Provided,"[""debt_financing""]",runwaygrowth.com,1.0,$40 million,40000000,"https://www.prnewswire.com/news-releases/runway-growth-capital-provides-a-40-million-growth-investment-to-carnow-302117064.html, https://www.finsmes.com/2024/04/carnow-receives-40m-loan-from-runway-growth-capital.html",Not Provided
databricks.com,series_i,"[""series_i"", ""venture""]",Not Provided,0.0,$685 million,685000000,https://iteuropa.com/news/large-language-model-walks-bar,series_i
anthropic.com,Not Provided,[],damachotelsandresorts.com,1.0,$50mn,50000000,https://www.arabianbusiness.com/industries/technology/dubais-damac-group-bets-big-on-ai-with-50mn-investment-in-anthropic,Not Provided
ey.com,Not Provided,[],Not Provided,0.0,AU$10.7M,6865000,https://www.biometricupdate.com/202404/ey-secures-au10-7m-to-build-australia-digital-id-register-after-limited-tender,Not Provided
openpipe.ai,seed,"[""seed"", ""venture""]",Not Provided,0.0,$6.7 million,6700000,https://www.geekwire.com/2024/seattle-startup-openpipe-raises-6-7m-to-help-companies-reduce-costs-for-llm-development,seed
canva.com,Not Provided,[],surocap.com,1.0,$2 billion,2000000000,https://www.investing.com/news/stock-market-news/earnings-call-suro-capital-q1-2024-earnings-show-strategic-investments-93CH-3431237,Not Provided
syntetica.co,seed,"[""seed"", ""venture""]",Not Provided,0.0,Û4.2 million,4581000,https://tech.eu/2024/07/16/syntetica-raises-eur42m-to-close-the-loop-in-nylon-recycling,seed
zf.com,Not Provided,[],eib.org,1.0,Û425 million,464695000,https://thebrakereport.com/eib-funds-zf-braking-steering-advances,Not Provided
sparelabs.com,Not Provided,[],Not Provided,0.0,$10M,10000000,https://www.finsmes.com/2024/06/spare-receives-10m-in-growth-capital.html,Not Provided
e-zinc.ca,series_a2,"[""series_a2"", ""venture""]",Not Provided,0.0,USD 31M,31000000,https://www.explorebit.io/article/e-Zinc%20Raises%20USD%2031M%20Series%20A2%20Funding,series_a2
biointelligence.com,Not Provided,[],Not Provided,0.0,$5M,5000000,https://www.prweb.com/releases/biointelligence-technologies-raises-5m-to-accelerate-growth-in-america-and-europe-302125188.html,Not Provided
claritisoftware.com,Not Provided,"[""private_equity""]",vistaragrowth.com,1.0,$24.6 million CAD,18139000,https://betakit.com/government-software-provider-clariti-cloud-secures-24-6-million-cad-from-vistara-growth,Not Provided
